2026-04-11 08:38:22.2143 INFO App Application starting 
2026-04-17 13:27:25.6652 INFO App Application starting 
2026-04-17 13:27:52.0618 INFO App Application starting 
2026-04-17 13:27:57.1524 INFO App Application starting 
2026-05-11 11:00:56.2000 INFO App Application starting 
2026-05-11 11:13:33.2812 INFO App Application starting 
2026-05-11 11:13:35.3704 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:15:28.9098 INFO MonitoringScheduler Scheduler stopped 
2026-05-11 11:15:28.9158 INFO App Application exiting 
2026-05-11 11:15:50.6020 INFO App Application starting 
2026-05-11 11:15:51.7150 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:16:02.8760 INFO MonitoringScheduler Scheduler stopped 
2026-05-11 11:16:02.8760 INFO App Application exiting 
2026-05-11 11:33:02.7402 INFO App Application starting 
2026-05-11 11:33:04.2892 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:33:42.8462 INFO MonitoringScheduler Scheduler stopped 
2026-05-12 10:25:38.9322 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-12 10:25:39.1262 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
2026-05-12 10:25:39.2632 INFO PingModule Ping 123 (1.1.1.1): Online, 34ms 
2026-05-12 10:25:39.3912 INFO PingModule Ping 123 (1.1.1.1): Online, 30ms 
2026-05-12 10:25:39.5262 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-12 10:25:39.6762 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:39.8152 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:39.9672 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:40.1482 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:40.2942 INFO PingModule Ping 123 (1.1.1.1): Online, 34ms 
2026-05-12 10:25:40.4262 INFO PingModule Ping 123 (1.1.1.1): Online, 29ms 
2026-05-12 10:25:40.6002 INFO PingModule Ping 123 (1.1.1.1): Online, 28ms 
2026-05-12 10:25:40.7442 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:40.8662 INFO PingModule Ping 123 (1.1.1.1): Online, 29ms 
2026-05-12 10:25:41.0102 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
2026-05-12 10:25:41.1722 INFO PingModule Ping 123 (1.1.1.1): Online, 29ms 
2026-05-12 10:25:41.3152 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
2026-05-12 10:25:41.4312 INFO PingModule Ping 123 (1.1.1.1): Online, 24ms 
2026-05-12 10:25:48.7382 INFO PingModule Ping 123 (1.1.1.1): Online, 41ms 
2026-05-12 10:25:55.9762 INFO PingModule Ping 123 (1.1.1.1): Online, 37ms 
2026-05-12 10:26:03.2382 INFO PingModule Ping 123 (1.1.1.1): Online, 32ms 
2026-05-12 10:26:04.1152 INFO MonitoringScheduler Scheduler stopped 
2026-05-12 10:26:04.1762 INFO App Application exiting 
